,A,F,FT,L,LF,MN,O,PE,SC,SE,US
A,11,1,0,0,0,1,0,0,0,0,0
F,5,276,8,31,6,7,13,15,15,39,23
FT,0,0,5,0,0,0,1,0,0,0,1
L,0,2,1,30,1,0,2,1,1,3,1
LF,0,2,1,0,9,0,0,0,1,1,4
MN,1,1,1,0,0,8,2,0,0,0,2
O,1,1,1,0,0,1,25,0,1,0,2
PE,0,4,0,0,0,0,4,22,1,0,2
SC,4,1,0,0,0,1,0,1,12,0,0
SE,3,5,3,0,2,0,0,3,1,27,2
US,1,6,2,1,0,3,1,1,2,3,23
