,A,F,FT,L,LF,MN,O,PE,SC,SE,US
A,3,0,0,0,0,0,0,1,0,0,0
F,1,39,0,2,2,0,0,0,0,6,1
FT,0,0,1,0,0,1,0,0,0,0,0
L,0,0,0,3,0,0,0,0,0,0,0
LF,0,2,0,1,5,0,0,0,0,0,0
MN,0,0,0,0,0,1,0,1,1,0,0
O,1,0,0,1,0,1,7,1,1,0,0
PE,1,0,0,0,0,1,0,9,0,0,0
SC,0,0,0,0,0,0,0,0,3,0,1
SE,0,0,0,0,0,0,1,1,0,10,1
US,1,2,0,1,2,0,0,1,1,0,6
