Threshold,Accuracy,Precision,Recall,F1,Selected_Count,Total_Test
0.6,0.696,0.7465544481358435,0.696,0.7041884349218853,125,125
0.65,0.696,0.7465544481358435,0.696,0.7041884349218853,125,125
0.7,0.696,0.7465544481358435,0.696,0.7041884349218853,125,125
0.75,0.696,0.7465544481358435,0.696,0.7041884349218853,125,125
0.8,0.696,0.7465544481358435,0.696,0.7041884349218853,125,125
0.85,0.696,0.7465544481358435,0.696,0.7041884349218853,125,125
0.9,0.696,0.7465544481358435,0.696,0.7041884349218853,125,125
