Configuration,Ngram,MaxFeatures,MinDF,MaxDF,VocabularySize,Accuracy,WeightedPrecision,WeightedRecall,WeightedF1,MacroPrecision,MacroRecall,MacroF1
trigram_unlimited,"(1, 3)",,1.0,0.95,10599,0.736,0.7676402597402598,0.736,0.7411076088112245,0.6285074773711138,0.7015201821351554,0.6448067737915875
bigram_unlimited,"(1, 2)",,1.0,0.95,5399,0.728,0.7632663393344243,0.728,0.7319839455593624,0.6147405785703658,0.6955261761411494,0.6314140375360618
bigram_10000,"(1, 2)",10000.0,1.0,0.95,5399,0.728,0.7632663393344243,0.728,0.7319839455593624,0.6147405785703658,0.6955261761411494,0.6314140375360618
bigram_5000,"(1, 2)",5000.0,1.0,0.95,5000,0.72,0.7567971970058927,0.72,0.7242997538987348,0.6095773791425966,0.6937436449468536,0.6277720677674353
unigram_unlimited,"(1, 1)",,1.0,0.95,1297,0.704,0.7481287972896667,0.704,0.7043741031472129,0.5878015758944612,0.6859671077585516,0.6023193286250826
bigram_2000,"(1, 2)",2000.0,0.01,0.95,2000,0.696,0.7465544481358435,0.696,0.7041884349218853,0.6205115943488037,0.6656687786366932,0.608427897663529
