,A,F,FT,L,LF,MN,O,PE,SC,SE,US
A,2,0,1,0,0,0,0,0,1,0,0
F,2,31,5,4,1,0,0,1,0,6,1
FT,0,0,1,0,1,0,0,0,0,0,0
L,0,0,1,2,0,0,0,0,0,0,0
LF,0,1,1,1,4,0,1,0,0,0,0
MN,0,0,0,0,0,0,0,2,1,0,0
O,1,0,1,0,2,1,4,1,1,1,0
PE,0,0,1,0,0,1,0,8,1,0,0
SC,0,0,0,0,0,0,0,0,2,1,1
SE,0,0,5,1,0,0,0,0,0,6,1
US,0,1,4,0,3,0,0,1,1,0,4
